"","iso3","country","cow_code","NAMES_STD","exist_unemp","unemp_firstlaw","year"
"1","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1880
"2","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1880
"3","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1880
"4","ARE",NA,NA,NA,NA,NA,1880
"5","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1880
"6","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1880
"7","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1880
"8","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1880
"9","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1880
"10","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1880
"11","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1880
"12","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1880
"13","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1880
"14","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1880
"15","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1880
"16","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1880
"17","BIH",NA,NA,NA,NA,NA,1880
"18","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1880
"19","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1880
"20","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1880
"21","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1880
"22","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1880
"23","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1880
"24","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1880
"25","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1880
"26","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1880
"27","CHN","China",710,"China","unemployment benefit programme",1986,1880
"28","CIV","Ivory Coast",437,"Cote d'Ivoire","severance payment but no unemployment benefit programme",NA,1880
"29","CMR","Cameroon",471,"Cameroon","severance payment but no unemployment benefit programme",NA,1880
"30","COD","Democratic Republic of the Congo",490,"Democratic Republic of the Congo","no umemployment insurance anchored in legislation",NA,1880
"31","COG","Congo",484,"Congo","no umemployment insurance anchored in legislation",NA,1880
"32","COL","Colombia",100,"Colombia","unemployment benefit programme",2002,1880
"33","COM",NA,NA,NA,NA,NA,1880
"34","CPV","Cape Verde",402,"Cape Verde","unemployment benefit programme",2016,1880
"35","CRI","Costa Rica",94,"Costa Rica","severance payment but no unemployment benefit programme",NA,1880
"36","CUB","Cuba",40,"Cuba","no umemployment insurance anchored in legislation",NA,1880
"37","CYP","Cyprus",352,"Cyprus","unemployment benefit programme",1956,1880
"38","CZE","Czech Republic",316,"Czech Republic","unemployment benefit programme",1918,1880
"39","DEU","Germany",255,"Germany","unemployment benefit programme",1927,1880
"40","DJI","Djibouti",522,"Djibouti","no umemployment insurance anchored in legislation",NA,1880
"41","DNK","Denmark",390,"Denmark","unemployment benefit programme",1907,1880
"42","DOM","Dominican Republic",42,"Dominican Republic","no umemployment insurance anchored in legislation",NA,1880
"43","DZA","Algeria",615,"Algeria","unemployment benefit programme",1994,1880
"44","ECU","Ecuador",130,"Ecuador","unemployment benefit programme",2001,1880
"45","EGY","Egypt",651,"Egypt","unemployment benefit programme",1964,1880
"46","ESP","Spain",230,"Spain","unemployment benefit programme",1919,1880
"47","EST","Estonia",366,"Estonia","unemployment benefit programme",1991,1880
"48","ETH","Ethiopia",530,"Ethiopia","severance payment but no unemployment benefit programme",NA,1880
"49","FIN","Finland",375,"Finland","unemployment benefit programme",1917,1880
"50","FJI","Fiji",950,"Fiji","no umemployment insurance anchored in legislation",NA,1880
"51","FRA","France",220,"France","unemployment benefit programme",1905,1880
"52","GAB","Gabon",481,"Gabon","severance payment but no unemployment benefit programme",NA,1880
"53","GBR","United Kingdom",200,"United Kingdom","unemployment benefit programme",1911,1880
"54","GEO","Georgia",372,"Georgia","severance payment but no unemployment benefit programme",NA,1880
"55","GHA","Ghana",452,"Ghana","no umemployment insurance anchored in legislation",NA,1880
"56","GIN","Guinea",438,"Guinea","no umemployment insurance anchored in legislation",NA,1880
"57","GMB","Gambia",420,"Gambia","severance payment but no unemployment benefit programme",NA,1880
"58","GNB",NA,NA,NA,NA,NA,1880
"59","GNQ","Equatorial Guinea",411,"Equatorial Guinea","severance payment but no unemployment benefit programme",NA,1880
"60","GRC","Greece",350,"Greece","unemployment benefit programme",1945,1880
"61","GTM","Guatemala",90,"Guatemala","severance payment but no unemployment benefit programme",NA,1880
"62","GUY","Guyana",110,"Guyana","severance payment but no unemployment benefit programme",NA,1880
"63","HND","Honduras",91,"Honduras","unemployment benefit programme",2015,1880
"64","HRV","Croatia",344,"Croatia","unemployment benefit programme",1935,1880
"65","HTI","Haiti",41,"Haiti","no umemployment insurance anchored in legislation",NA,1880
"66","HUN","Hungary",310,"Hungary","unemployment benefit programme",1957,1880
"67","IDN","Indonesia",850,"Indonesia","severance payment but no unemployment benefit programme",NA,1880
"68","IND","India",750,"India","unemployment benefit programme",2005,1880
"69","IRL","Ireland",205,"Ireland","unemployment benefit programme",1922,1880
"70","IRN","Iran",630,"Iran","unemployment benefit programme",1987,1880
"71","IRQ","Iraq",645,"Iraq","severance payment but no unemployment benefit programme",NA,1880
