"","iso3","toa","year"
"1","AFG",1931,1880
"2","AGO",1975,1880
"3","ALB",1913,1880
"4","ARE",1971,1880
"5","ARG",1884,1880
"6","ARM",1920,1880
"7","AUS",1880,1880
"8","AUT",1880,1880
"9","AZE",1920,1880
"10","BDI",NA,1880
"11","BEL",1914,1880
"12","BEN",1972,1880
"13","BFA",1996,1880
"14","BGD",1990,1880
"15","BGR",1880,1880
"16","BHR",1973,1880
"17","BIH",NA,1880
"18","BLR",1926,1880
"19","BOL",1955,1880
"20","BRA",1935,1880
"21","BTN",NA,1880
"22","BWA",NA,1880
"23","CAF",1984,1880
"24","CAN",1880,1880
"25","CHE",1880,1880
"26","CHL",1920,1880
"27","CHN",1901,1880
"28","CIV",NA,1880
"29","CMR",1993,1880
"30","COD",NA,1880
"31","COG",NA,1880
"32","COL",1880,1880
"33","COM",NA,1880
"34","CPV",1980,1880
"35","CRI",1880,1880
"36","CUB",1880,1880
"37","CYP",1962,1880
"38","CZE",NA,1880
"39","DEU",1880,1880
"40","DJI",2000,1880
"41","DNK",1880,1880
"42","DOM",1966,1880
"43","DZA",1962,1880
"44","ECU",1897,1880
"45","EGY",1953,1880
"46","ESP",1880,1880
"47","EST",1920,1880
"48","ETH",NA,1880
"49","FIN",1921,1880
"50","FJI",NA,1880
"51","FRA",1882,1880
"52","GAB",1966,1880
"53","GBR",NA,1880
"54","GEO",1920,1880
"55","GHA",1951,1880
"56","GIN",1958,1880
"57","GMB",NA,1880
"58","GNB",1974,1880
"59","GNQ",1959,1880
"60","GRC",1880,1880
"61","GTM",1880,1880
"62","GUY",1880,1880
"63","HND",1966,1880
"64","HRV",1880,1880
"65","HTI",1880,1880
"66","HUN",1880,1880
"67","IDN",1973,1880
"68","IND",1949,1880
"69","IRL",1892,1880
"70","IRN",1911,1880
"71","IRQ",1940,1880
"72","ISR",1949,1880
"73","ITA",1880,1880
"74","JAM",1973,1880
"75","JOR",1952,1880
"76","JPN",1880,1880
"77","KAZ",1918,1880
"78","KEN",2003,1880
"79","KGZ",1924,1880
"80","KHM",1906,1880
"81","KOR",NA,1880
"82","KWT",1962,1880
"83","LAO",NA,1880
"84","LBN",1989,1880
"85","LBR",2001,1880
"86","LBY",1951,1880
"87","LKA",1997,1880
"88","LSO",2010,1880
"89","LTU",1940,1880
"90","LUX",1912,1880
"91","LVA",1919,1880
"92","MAR",1963,1880
"93","MDA",1918,1880
"94","MDG",1968,1880
"95","MEX",1917,1880
"96","MKD",NA,1880
"97","MLI",1992,1880
"98","MMR",NA,1880
"99","MNE",1918,1880
"100","MNG",1925,1880
"101","MOZ",1964,1880
"102","MRT",2001,1880
"103","MUS",1993,1880
"104","MWI",1994,1880
"105","MYS",2002,1880
"106","NAM",1953,1880
"107","NER",NA,1880
"108","NGA",1976,1880
"109","NIC",1980,1880
"110","NLD",1900,1880
"111","NOR",1880,1880
"112","NPL",NA,1880
"113","NZL",1880,1880
"114","OMN",NA,1880
"115","PAK",1973,1880
"116","PAN",1941,1880
"117","PER",1905,1880
"118","PHL",1880,1880
"119","PNG",NA,1880
"120","POL",1919,1880
"121","PRK",1949,1880
"122","PRT",1880,1880
"123","PRY",1880,1880
"124","QAT",2001,1880
"125","ROU",1880,1880
"126","RUS",NA,1880
"127","RWA",1899,1880
"128","SAU",1925,1880
"129","SDN",1992,1880
"130","SEN",2004,1880
"131","SGP",2000,1880
"132","SLB",NA,1880
"133","SLE",2003,1880
"134","SLV",1983,1880
"135","SOM",1975,1880
"136","SRB",1882,1880
"137","SSD",NA,1880
"138","SUR",1987,1880
"139","SVK",1880,1880
"140","SVN",1882,1880
"141","SWE",1880,1880
"142","SWZ",NA,1880
"143","SYR",1973,1880
"144","TCD",1960,1880
"145","TGO",1968,1880
"146","THA",1921,1880
"147","TJK",1918,1880
"148","TKM",1920,1880
"149","TLS",NA,1880
"150","TTO",NA,1880
"151","TUN",1958,1880
"152","TUR",1924,1880
"153","TZA",1964,1880
"154","UGA",1967,1880
"155","UKR",1923,1880
"156","URY",1880,1880
"157","USA",NA,1880
"158","UZB",1920,1880
"159","VEN",1880,1880
"160","VNM",1967,1880
"161","YEM",1991,1880
"162","ZAF",1953,1880
"163","ZMB",1966,1880
"164","ZWE",1938,1880
"165","AFG",1931,1881
"166","AGO",1975,1881
"167","ALB",1913,1881
"168","ARE",1971,1881
"169","ARG",1884,1881
"170","ARM",1920,1881
"171","AUS",1880,1881
"172","AUT",1880,1881
"173","AZE",1920,1881
"174","BDI",NA,1881
"175","BEL",1914,1881
"176","BEN",1972,1881
"177","BFA",1996,1881
"178","BGD",1990,1881
"179","BGR",1880,1881
"180","BHR",1973,1881
"181","BIH",NA,1881
"182","BLR",1926,1881
"183","BOL",1955,1881
"184","BRA",1935,1881
"185","BTN",NA,1881
"186","BWA",NA,1881
"187","CAF",1984,1881
"188","CAN",1880,1881
"189","CHE",1880,1881
"190","CHL",1920,1881
"191","CHN",1901,1881
"192","CIV",NA,1881
"193","CMR",1993,1881
"194","COD",NA,1881
"195","COG",NA,1881
"196","COL",1880,1881
"197","COM",NA,1881
"198","CPV",1980,1881
"199","CRI",1880,1881
"200","CUB",1880,1881
"201","CYP",1962,1881
"202","CZE",NA,1881
"203","DEU",1880,1881
"204","DJI",2000,1881
"205","DNK",1880,1881
"206","DOM",1966,1881
"207","DZA",1962,1881
"208","ECU",1897,1881
"209","EGY",1953,1881
"210","ESP",1880,1881
"211","EST",1920,1881
"212","ETH",NA,1881
"213","FIN",1921,1881
"214","FJI",NA,1881
"215","FRA",1882,1881
"216","GAB",1966,1881
"217","GBR",NA,1881
"218","GEO",1920,1881
"219","GHA",1951,1881
"220","GIN",1958,1881
"221","GMB",NA,1881
"222","GNB",1974,1881
"223","GNQ",1959,1881
"224","GRC",1880,1881
"225","GTM",1880,1881
"226","GUY",1880,1881
"227","HND",1966,1881
"228","HRV",1880,1881
"229","HTI",1880,1881
"230","HUN",1880,1881
"231","IDN",1973,1881
"232","IND",1949,1881
"233","IRL",1892,1881
"234","IRN",1911,1881
"235","IRQ",1940,1881
"236","ISR",1949,1881
"237","ITA",1880,1881
"238","JAM",1973,1881
"239","JOR",1952,1881
"240","JPN",1880,1881
"241","KAZ",1918,1881
"242","KEN",2003,1881
"243","KGZ",1924,1881
"244","KHM",1906,1881
"245","KOR",NA,1881
"246","KWT",1962,1881
"247","LAO",NA,1881
"248","LBN",1989,1881
"249","LBR",2001,1881
"250","LBY",1951,1881
"251","LKA",1997,1881
"252","LSO",2010,1881
"253","LTU",1940,1881
"254","LUX",1912,1881
"255","LVA",1919,1881
"256","MAR",1963,1881
"257","MDA",1918,1881
"258","MDG",1968,1881
"259","MEX",1917,1881
"260","MKD",NA,1881
"261","MLI",1992,1881
"262","MMR",NA,1881
"263","MNE",1918,1881
"264","MNG",1925,1881
"265","MOZ",1964,1881
"266","MRT",2001,1881
"267","MUS",1993,1881
"268","MWI",1994,1881
"269","MYS",2002,1881
"270","NAM",1953,1881
"271","NER",NA,1881
"272","NGA",1976,1881
"273","NIC",1980,1881
"274","NLD",1900,1881
"275","NOR",1880,1881
"276","NPL",NA,1881
"277","NZL",1880,1881
"278","OMN",NA,1881
"279","PAK",1973,1881
"280","PAN",1941,1881
"281","PER",1905,1881
"282","PHL",1880,1881
"283","PNG",NA,1881
"284","POL",1919,1881
"285","PRK",1949,1881
"286","PRT",1880,1881
"287","PRY",1880,1881
"288","QAT",2001,1881
"289","ROU",1880,1881
"290","RUS",NA,1881
"291","RWA",1899,1881
"292","SAU",1925,1881
"293","SDN",1992,1881
"294","SEN",2004,1881
"295","SGP",2000,1881
"296","SLB",NA,1881
"297","SLE",2003,1881
"298","SLV",1983,1881
"299","SOM",1975,1881
"300","SRB",1882,1881
"301","SSD",NA,1881
"302","SUR",1987,1881
"303","SVK",1880,1881
"304","SVN",1882,1881
"305","SWE",1880,1881
"306","SWZ",NA,1881
"307","SYR",1973,1881
"308","TCD",1960,1881
"309","TGO",1968,1881
"310","THA",1921,1881
