iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
AFG,1880,700,1969,2,NA,NA,Afghanistan
AGO,1880,540,1976,2,NA,NA,Angola
ALB,1880,339,1997,2,NA,NA,Albania
ARE,1880,696,2001,1,NA,NA,United Arab Emirates
ARG,1880,160,1968,2,NA,NA,Argentina
ARM,1880,371,1994,2,NA,NA,Armenia
AUS,1880,900,1973,1,NA,NA,Australia
AUT,1880,305,1973,3,NA,NA,Austria
AZE,1880,373,1992,2,NA,NA,Azerbaijan
BDI,1880,516,1993,2,NA,NA,Burundi
BEL,1880,211,1977,2,NA,NA,Belgium
BEN,1880,434,1961,2,NA,NA,Benin
BFA,1880,439,1962,2,NA,NA,Burkina Faso
BGD,1880,771,1972,1,NA,NA,Bangladesh
BGR,1880,355,1960,3,NA,NA,Bulgaria
BHR,1880,692,2000,1,NA,NA,Bahrain
BIH,1880,346,1993,3,NA,NA,Bosnia & Herzegovina
BLR,1880,370,1961,3,NA,NA,Belarus
BOL,1880,145,1977,2,NA,NA,Bolivia
BRA,1880,140,1965,2,NA,NA,Brazil
BTN,1880,NA,NA,NA,NA,NA,Bhutan
BWA,1880,571,1997,1,NA,NA,Botswana
CAF,1880,482,1964,2,NA,NA,Central African Republic
CAN,1880,20,1964,1,NA,NA,Canada
CHE,1880,225,1961,3,NA,NA,Switzerland
CHL,1880,155,1971,2,NA,NA,Chile
CHN,1880,710,2006,3,NA,NA,China
CIV,1880,437,1961,2,NA,NA,Côte d’Ivoire
CMR,1880,471,1988,2,NA,NA,Cameroon
COD,1880,490,2001,2,NA,NA,Congo - Kinshasa
COG,1880,484,1999,2,NA,NA,Congo - Brazzaville
COL,1880,100,1969,2,NA,NA,Colombia
COM,1880,581,2004,2,NA,NA,Comoros
CPV,1880,402,1979,2,NA,NA,Cape Verde
CRI,1880,94,1962,2,NA,NA,Costa Rica
CUB,1880,40,1965,NA,NA,NA,Cuba
CYP,1880,352,1968,1,NA,NA,Cyprus
CZE,1880,316,1993,3,NA,NA,Czechia
DEU,1880,255,1961,3,NA,NA,Germany
DJI,1880,522,2005,2,NA,NA,Djibouti
DNK,1880,390,1960,4,NA,NA,Denmark
DOM,1880,42,1964,2,NA,NA,Dominican Republic
DZA,1880,615,1969,2,NA,NA,Algeria
ECU,1880,130,1962,2,NA,NA,Ecuador
EGY,1880,651,1960,2,NA,NA,Egypt
ESP,1880,230,1967,2,NA,NA,Spain
EST,1880,366,2005,3,NA,NA,Estonia
ETH,1880,530,1966,2,NA,NA,Ethiopia
FIN,1880,375,1970,4,NA,NA,Finland
FJI,1880,950,2002,1,NA,NA,Fiji
FRA,1880,220,1981,2,NA,NA,France
GAB,1880,481,1961,2,NA,NA,Gabon
GBR,1880,200,1999,1,NA,NA,United Kingdom
GEO,1880,372,1993,3,NA,NA,Georgia
GHA,1880,452,1961,1,NA,NA,Ghana
GIN,1880,438,1960,2,NA,NA,Guinea
GMB,1880,420,2000,1,NA,NA,Gambia
GNB,1880,404,1977,2,NA,NA,Guinea-Bissau
GNQ,1880,411,2001,2,NA,NA,Equatorial Guinea
GRC,1880,350,1984,2,NA,NA,Greece
GTM,1880,90,1960,2,NA,NA,Guatemala
GUY,1880,110,1975,1,NA,NA,Guyana
HND,1880,91,1960,2,NA,NA,Honduras
HRV,1880,344,1991,3,NA,NA,Croatia
HTI,1880,41,1976,2,NA,NA,Haiti
HUN,1880,310,1961,3,NA,NA,Hungary
IDN,1880,850,1999,2,NA,NA,Indonesia
IND,1880,750,1960,1,NA,NA,India
IRL,1880,205,1999,1,NA,NA,Ireland
IRN,1880,630,1964,2,NA,NA,Iran
IRQ,1880,645,1959,2,NA,NA,Iraq
ISR,1880,666,1959,1,NA,NA,Israel
ITA,1880,325,1963,2,NA,NA,Italy
JAM,1880,51,1975,1,NA,NA,Jamaica
JOR,1880,663,1963,2,NA,NA,Jordan
JPN,1880,740,NA,3,NA,NA,Japan
KAZ,1880,705,1999,2,NA,NA,Kazakhstan
KEN,1880,501,2001,1,NA,NA,Kenya
KGZ,1880,703,1992,2,NA,NA,Kyrgyzstan
KHM,1880,811,1999,2,NA,NA,Cambodia
KOR,1880,732,1998,3,NA,NA,South Korea
KWT,1880,690,1966,2,NA,NA,Kuwait
LAO,1880,812,2008,2,NA,NA,Laos
LBN,1880,660,1977,2,NA,NA,Lebanon
LBR,1880,450,1959,1,NA,NA,Liberia
LBY,1880,620,1961,2,NA,NA,Libya
LKA,1880,780,1998,1,NA,NA,Sri Lanka
LSO,1880,570,1998,1,NA,NA,Lesotho
LTU,1880,368,1994,2,NA,NA,Lithuania
LUX,1880,212,2001,2,NA,NA,Luxembourg
