"","iso3","year","cow_code","region","confidence","toa","country_names"
"1","AFG",1880,700,"Southern Asia",NA,NA,"Afghanistan"
"2","AGO",1880,540,"Africa","Low",1975,"Angola"
"3","ALB",1880,339,"Central and Eastern Europe","Medium",1946,"Albania"
"4","ARE",1880,696,"Western Asia",NA,NA,"United Arab Emirates"
"5","ARG",1880,160,"Americas","High",1944,"Argentina"
"6","ARM",1880,371,"Central and Eastern Europe","Low",1912,"Armenia"
"7","AUS",1880,900,"Oceania","Medium",1953,"Australia"
"8","AUT",1880,305,"Western Europe","High",1888,"Austria"
"9","AZE",1880,373,"Central and Eastern Europe","Low",1912,"Azerbaijan"
"10","BDI",1880,516,"Africa",NA,NA,"Burundi"
"11","BEL",1880,211,"Western Europe",NA,NA,"Belgium"
"12","BEN",1880,434,"Africa",NA,NA,"Benin"
"13","BFA",1880,439,"Africa",NA,NA,"Burkina Faso"
"14","BGD",1880,771,"Southern Asia","Low",1947,"Bangladesh"
"15","BGR",1880,355,"Central and Eastern Europe","Medium",1888,"Bulgaria"
"16","BHR",1880,692,"Western Asia",NA,NA,"Bahrain"
"17","BIH",1880,346,"Central and Eastern Europe","Medium",1922,"Bosnia & Herzegovina"
"18","BLR",1880,370,"Central and Eastern Europe","Medium",1912,"Belarus"
"19","BOL",1880,145,"Americas","High",1938,"Bolivia"
"20","BRA",1880,140,"Americas","High",1923,"Brazil"
"21","BTN",1880,760,"Southern Asia","Medium",1961,"Bhutan"
"22","BWA",1880,571,"Africa",NA,NA,"Botswana"
"23","CAF",1880,482,"Africa",NA,NA,"Central African Republic"
"24","CAN",1880,20,"Americas","High",1958,"Canada"
"25","CHE",1880,225,"Western Europe","Medium",1911,"Switzerland"
"26","CHL",1880,155,"Americas","High",1924,"Chile"
"27","CHN",1880,710,"Eastern Asia","High",1951,"China"
"28","CIV",1880,437,"Africa",NA,NA,"Côte d’Ivoire"
"29","CMR",1880,471,"Africa",NA,NA,"Cameroon"
"30","COD",1880,490,"Africa","High",1984,"Congo - Kinshasa"
"31","COG",1880,484,"Africa",NA,NA,"Congo - Brazzaville"
"32","COL",1880,100,"Americas","High",1938,"Colombia"
"33","COM",1880,NA,NA,NA,NA,"Comoros"
"34","CPV",1880,402,"Africa","(very) Low",1978,"Cape Verde"
"35","CRI",1880,94,"Americas","High",1941,"Costa Rica"
"36","CUB",1880,40,"Americas","High",1909,"Cuba"
"37","CYP",1880,352,"Western Asia","Medium",1957,"Cyprus"
"38","CZE",1880,316,"Central and Eastern Europe","Medium",1888,"Czechia"
"39","DEU",1880,255,"Western Europe","High",1883,"Germany"
"40","DJI",1880,522,"Africa",NA,NA,"Djibouti"
"41","DNK",1880,390,"Northern Europe","Low",1892,"Denmark"
"42","DOM",1880,42,"Americas","High",1947,"Dominican Republic"
"43","DZA",1880,615,"Africa","High",1976,"Algeria"
"44","ECU",1880,130,"Americas","High",1935,"Ecuador"
"45","EGY",1880,NA,NA,NA,NA,"Egypt"
"46","ESP",1880,230,"Europe","Medium",1883,"Spain"
"47","EST",1880,366,"Central and Eastern Europe","Medium",1912,"Estonia"
"48","ETH",1880,530,"Africa",NA,NA,"Ethiopia"
"49","FIN",1880,375,"Northern Europe","Low",1963,"Finland"
"50","FJI",1880,950,"Oceania","Low",1977,"Fiji"
"51","FRA",1880,220,"Western Europe","Medium",1893,"France"
"52","GAB",1880,481,"Africa",NA,NA,"Gabon"
"53","GBR",1880,200,"Western Europe","High",1911,"United Kingdom"
"54","GEO",1880,372,"Central and Eastern Europe","Low",1912,"Georgia"
"55","GHA",1880,NA,NA,NA,NA,"Ghana"
"56","GIN",1880,438,"Africa",NA,NA,"Guinea"
"57","GMB",1880,420,"Africa",NA,NA,"Gambia"
"58","GNB",1880,404,"Africa","Low",1993,"Guinea-Bissau"
"59","GNQ",1880,411,"Africa","Low",NA,"Equatorial Guinea"
"60","GRC",1880,350,"Southern Europe","Medium",1922,"Greece"
"61","GTM",1880,90,"Americas","High",1944,"Guatemala"
"62","GUY",1880,110,"Americas","Medium",NA,"Guyana"
"63","HND",1880,91,"Americas","High",1959,"Honduras"
"64","HRV",1880,344,"Central and Eastern Europe","Medium",1888,"Croatia"
"65","HTI",1880,41,"Americas","High",1948,"Haiti"
"66","HUN",1880,310,"Central and Eastern Europe","Medium",1891,"Hungary"
"67","IDN",1880,850,"South-eastern Asia","Medium",1949,"Indonesia"
"68","IND",1880,750,"Southern Asia","Low",1947,"India"
"69","IRL",1880,205,"Western Europe",NA,NA,"Ireland"
"70","IRN",1880,630,"Southern Asia","Medium",1955,"Iran"
"71","IRQ",1880,645,"Western Asia",NA,NA,"Iraq"
"72","ISR",1880,666,"Western Asia","Low",1948,"Israel"
"73","ITA",1880,325,"Southern Europe","Medium",1923,"Italy"
"74","JAM",1880,51,"Americas","High",1965,"Jamaica"
"75","JOR",1880,663,"Western Asia",NA,NA,"Jordan"
"76","JPN",1880,740,"Eastern Asia","High",1922,"Japan"
"77","KAZ",1880,705,"Central Asia","Low",1922,"Kazakhstan"
"78","KEN",1880,501,"Africa",NA,NA,"Kenya"
"79","KGZ",1880,703,"Central Asia","Low",1922,"Kyrgyzstan"
"80","KHM",1880,811,"South-eastern Asia","Low",1955,"Cambodia"
"81","KOR",1880,732,"Eastern Asia","Medium",1976,"South Korea"
"82","KWT",1880,690,"Western Asia",NA,NA,"Kuwait"
"83","LAO",1880,812,"South-eastern Asia","Medium",1975,"Laos"
"84","LBN",1880,660,"Western Asia",NA,NA,"Lebanon"
"85","LBR",1880,450,"Africa",NA,NA,"Liberia"
"86","LBY",1880,NA,NA,NA,NA,"Libya"
"87","LKA",1880,780,"Southern Asia","Medium",1948,"Sri Lanka"
"88","LSO",1880,570,"Africa",NA,NA,"Lesotho"
"89","LTU",1880,368,"Central and Eastern Europe","Medium",1912,"Lithuania"
"90","LUX",1880,212,"Western Europe",NA,NA,"Luxembourg"
"91","LVA",1880,367,"Central and Eastern Europe","Medium",1912,"Latvia"
"92","MAR",1880,600,"Africa",NA,NA,"Morocco"
"93","MDA",1880,359,"Central and Eastern Europe","Medium",1912,"Moldova"
"94","MDG",1880,580,"Africa",NA,NA,"Madagascar"
"95","MEX",1880,70,"Americas","High",1943,"Mexico"
"96","MKD",1880,343,"Central and Eastern Europe","Medium",1922,"North Macedonia"
"97","MLI",1880,432,"Africa","Low",1970,"Mali"
"98","MMR",1880,775,"South-eastern Asia","Medium",1953,"Myanmar (Burma)"
"99","MNE",1880,341,"Central and Eastern Europe","Medium",1922,"Montenegro"
"100","MNG",1880,712,"Eastern Asia","Medium",1921,"Mongolia"
"101","MOZ",1880,541,"Africa","Low",1975,"Mozambique"
"102","MRT",1880,NA,NA,NA,NA,"Mauritania"
"103","MUS",1880,590,"Africa",NA,NA,"Mauritius"
"104","MWI",1880,553,"Africa",NA,NA,"Malawi"
"105","MYS",1880,820,"South-eastern Asia","Medium",1957,"Malaysia"
"106","NAM",1880,565,"Africa",NA,NA,"Namibia"
"107","NER",1880,436,"Africa",NA,NA,"Niger"
"108","NGA",1880,475,"Africa",NA,NA,"Nigeria"
"109","NIC",1880,93,"Americas","High",1956,"Nicaragua"
"110","NLD",1880,210,"Western Europe","Medium",1941,"Netherlands"
"111","NOR",1880,385,"Northern Europe","Medium",1912,"Norway"
"112","NPL",1880,790,"Southern Asia",NA,NA,"Nepal"
"113","NZL",1880,920,"Oceania","Medium",1906,"New Zealand"
"114","OMN",1880,698,"Western Asia",NA,NA,"Oman"
"115","PAK",1880,770,"Southern Asia","Low",1947,"Pakistan"
"116","PAN",1880,95,"Americas","High",1941,"Panama"
"117","PER",1880,135,"Americas","High",1935,"Peru"
"118","PHL",1880,840,"South-eastern Asia","Medium",1954,"Philippines"
"119","PNG",1880,910,"Oceania","Low",1977,"Papua New Guinea"
"120","POL",1880,290,"Central and Eastern Europe","Medium",1920,"Poland"
"121","PRK",1880,731,"Eastern Asia","Medium",1946,"North Korea"
