ccode1,ccode2,capdist,iso_o,iso_d
110,110,0,GUY,GUY
110,115,348.7282323594698,GUY,SUR
110,52,559.5702259648249,GUY,TTO
110,101,1041.1280845247861,GUY,VEN
110,990,12762.773042881905,GUY,WSM
110,955,13066.134013741794,GUY,TON
110,160,4582.438505757169,GUY,ARG
110,145,2802.39536302694,GUY,BOL
110,140,2745.2679484124606,GUY,BRA
110,155,4651.518100070712,GUY,CHL
110,130,2384.3893460309996,GUY,ECU
110,150,3551.6133669104597,GUY,PRY
110,135,2949.3995817291193,GUY,PER
110,165,4620.202153678525,GUY,URY
110,90,3633.173808813007,GUY,GTM
110,70,4635.068172196338,GUY,MEX
110,53,713.5190922913384,GUY,BRB
110,54,1003.0220389732935,GUY,DMA
110,55,702.4072307286878,GUY,GRD
110,56,853.2988362269462,GUY,LCA
110,57,777.1580280796184,GUY,VCT
110,42,1809.6620700720166,GUY,DOM
110,41,2005.6208091646092,GUY,HTI
110,51,2368.3996381930588,GUY,JAM
110,31,2868.5225424210344,GUY,BHS
110,80,3520.3024809032077,GUY,BLZ
110,100,1777.8433949242842,GUY,COL
110,94,2872.766211148561,GUY,CRI
110,40,3159.037793070731,GUY,CUB
110,92,3477.525490856583,GUY,SLV
110,91,3272.728059710592,GUY,HND
110,93,3139.8838491813126,GUY,NIC
110,95,2360.6320016646214,GUY,PAN
110,58,1210.125179691469,GUY,ATG
110,60,1260.3639383921297,GUY,KNA
110,395,6985.834110968573,GUY,ISL
110,205,6954.377773795981,GUY,IRL
110,200,7247.1137885986245,GUY,GBR
110,402,3893.3401302706175,GUY,CPV
110,437,5846.201527028385,GUY,CIV
110,452,6415.302164565317,GUY,GHA
110,450,5240.448377351697,GUY,LBR
110,235,6051.014864725968,GUY,PRT
110,230,6555.136297487328,GUY,ESP
110,439,6241.567143065736,GUY,BFA
110,438,4909.986668204936,GUY,GIN
110,404,4708.559543843112,GUY,GNB
110,432,5538.320976156924,GUY,MLI
110,433,4529.558071295558,GUY,SEN
110,451,4966.06751486253,GUY,SLE
110,420,4612.217516259461,GUY,GMB
110,522,11093.443285237387,GUY,DJI
110,531,10578.889057407738,GUY,ERI
110,530,10653.204967404406,GUY,ETH
110,712,13772.321939982447,GUY,MNG
110,500,10099.024887614265,GUY,UGA
110,645,10758.356878919765,GUY,IRQ
110,663,10005.526942684204,GUY,JOR
110,705,11991.455554377026,GUY,KAZ
110,385,8189.645177566226,GUY,NOR
110,365,9749.641408318632,GUY,RUS
110,380,8579.91383162524,GUY,SWE
110,615,7011.270311570874,GUY,DZA
110,232,7039.854212453357,GUY,AND
110,471,7728.542420493744,GUY,CMR
110,482,8503.441378384372,GUY,CAF
110,221,7538.8463409186015,GUY,MCO
110,616,7638.827482742507,GUY,TUN
110,434,6720.274985377913,GUY,BEN
110,411,7427.787781221288,GUY,GNQ
110,946,14278.382278119703,GUY,KIR
110,436,6636.699082336067,GUY,NER
110,475,7242.852427116664,GUY,NGA
110,403,7238.387122047659,GUY,STP
110,461,6603.468281419975,GUY,TGO
110,339,8514.436380383806,GUY,ALB
110,346,8413.664226213354,GUY,BIH
110,344,8246.302443181701,GUY,HRV
110,325,7911.5328986028035,GUY,ITA
110,343,8651.642921217217,GUY,MKD
110,338,8015.264376341764,GUY,MLT
110,331,7941.00683229384,GUY,SMR
110,355,8808.332337210033,GUY,BGR
110,352,9723.560292439188,GUY,CYP
110,372,10577.368790276738,GUY,GEO
110,350,8843.717642662188,GUY,GRC
110,660,9936.80051529021,GUY,LBN
110,640,9621.321261576273,GUY,TUR
110,305,8305.138085347678,GUY,AUT
110,316,8196.599602136936,GUY,CZE
110,390,8185.087227504214,GUY,DNK
110,310,8499.592537417364,GUY,HUN
110,290,8678.052012416294,GUY,POL
110,317,8359.908583403232,GUY,SVK
110,349,8135.463695765701,GUY,SVN
110,211,7515.493215874243,GUY,BEL
110,220,7311.21667904284,GUY,FRA
110,223,7778.405892008832,GUY,LIE
110,212,7599.800575571451,GUY,LUX
110,210,7604.931056383895,GUY,NLD
110,225,7621.073828066312,GUY,CHE
110,370,9123.440927307469,GUY,BLR
110,366,8958.671472308282,GUY,EST
110,375,8973.789608920963,GUY,FIN
110,367,8911.553981793124,GUY,LVA
110,368,8977.289174627149,GUY,LTU
110,359,9237.91483275243,GUY,MDA
110,360,9032.470029590313,GUY,ROU
110,369,9339.470401092474,GUY,UKR
110,781,14533.48895574695,GUY,MDV
110,698,12386.511647241989,GUY,OMN
110,520,11489.226547839926,GUY,SOM
110,780,15134.02576869057,GUY,LKA
110,701,11811.95294750747,GUY,TKM
110,704,12471.55525117111,GUY,UZB
110,679,11136.222021965958,GUY,YEM
110,371,10595.395580680704,GUY,ARM
110,373,11029.188605170262,GUY,AZE
110,692,11528.382725035772,GUY,BHR
110,630,11314.537264681667,GUY,IRN
110,690,11192.771032959907,GUY,KWT
110,694,11647.66729938099,GUY,QAT
110,670,11198.20714753792,GUY,SAU
110,696,11947.865305783436,GUY,ARE
110,700,12850.832325156629,GUY,AFG
110,703,12738.991012891203,GUY,KGZ
110,790,14544.286288343632,GUY,NPL
110,770,13213.222245454432,GUY,PAK
110,702,12595.348005581667,GUY,TJK
110,771,15220.008562435296,GUY,BGD
