year,cgdppc,gptfr,cow_code,polity2,iso3,toa_ml,toa_fa,tfr_delta10
1880,NA,7,700,-6,AFG,1987,NA,0
1880,NA,6.99,540,NA,AGO,NA,2011,-0.0099999998
1880,NA,4.6,339,NA,ALB,1947,1947,0
1880,NA,6.94,696,NA,ARE,1980,NA,0
1880,2748,6.56,160,1,ARG,1934,1957,0.17
1880,NA,8.05,371,NA,ARM,1956,1936,-0.029999999
1880,5842,4.73,900,NA,AUS,1973,NA,0.46000001
1880,2252,4.62,305,-4,AUT,1911,1948,0.07
1880,NA,8.1,373,NA,AZE,1990,1936,0
1880,NA,6.81,516,NA,BDI,1966,1971,0
1880,4136,4.71,211,4,BEL,1922,1931,0.090000004
1880,NA,5.62,434,NA,BEN,1952,1955,-0.0099999998
1880,NA,6.08,439,NA,BFA,1952,1955,-0.0099999998
1880,NA,6.7,771,NA,BGD,1939,NA,0
1880,NA,4.62,355,-4,BGR,1918,1942,0.54000002
1880,NA,6.99,692,NA,BHR,1976,NA,0.0099999998
1880,NA,5.33,1024,NA,BIH,NA,NA,0.039999999
1880,NA,7,370,NA,BLR,1990,1936,0
1880,NA,6.48,145,1,BOL,1939,1953,0
1880,734,6.29,140,-6,BRA,1932,1941,-0.029999999
1880,NA,6.67,760,NA,BTN,NA,NA,0
1880,NA,6.49,571,NA,BWA,1963,NA,0
1880,NA,6.51,482,NA,CAF,1952,1956,0
1880,3040,4.58,20,4,CAN,1971,1944,0.31
1880,3342,3.97,225,10,CHE,1911,1949,0.02
1880,1808,5.12,155,3,CHL,1924,1984,0.55000001
1880,NA,5.5,710,-6,CHN,1923,NA,0
1880,NA,6.78,437,NA,CIV,1952,1955,0
1880,NA,5.54,471,NA,CMR,1952,1959,0
1880,NA,5.99,490,NA,COD,1967,1951,0
1880,NA,5.67,484,NA,COG,1952,1956,0
1880,985,6.19,100,8,COL,1939,1961,0
1880,NA,6.01,581,NA,COM,1952,NA,0
1880,NA,6.55,402,NA,CPV,1976,1979,-0.0099999998
1880,NA,6.93,94,-4,CRI,1943,2001,0
1880,NA,5.78,40,NA,CUB,1935,NA,0
1880,NA,5.66,352,NA,CYP,1964,1991,0.37
1880,NA,5.06,315,NA,CZE,1924,1941,0.079999998
1880,2792,5.06,255,-4,DEU,1884,1936,0.12
1880,NA,6.3,522,NA,DJI,1952,NA,0
1880,2975,4.28,390,-3,DNK,1892,1952,-0.18000001
1880,NA,6.16,42,-3,DOM,1949,2005,0
1880,NA,6.99,615,NA,DZA,1949,1941,0
1880,624,7,130,-1,ECU,1928,1998,0
1880,NA,6.03,651,NA,EGY,1964,NA,0.0099999998
1880,3629,4.7,230,4,ESP,1923,1926,0.14
1880,NA,4.16,366,NA,EST,1989,NA,0.2
1880,NA,7.17,530,4,ETH,1960,NA,0
1880,1255,5.01,375,NA,FIN,1963,1943,-0.15000001
1880,NA,6.45,950,NA,FJI,1947,NA,0
1880,2812,3.36,220,7,FRA,1913,1932,0.079999998
1880,NA,6.2,481,NA,GAB,1952,1956,0.039999999
1880,4090,4.75,200,7,GBR,1946,1945,0.13
1880,NA,7.8,372,NA,GEO,1990,NA,0
1880,NA,6.43,452,NA,GHA,1967,NA,0
1880,NA,6.11,438,NA,GIN,1952,1960,0
1880,NA,6.51,420,NA,GMB,1959,NA,0
1880,NA,7.25,404,NA,GNB,NA,NA,0
1880,NA,5.51,411,NA,GNQ,1990,1984,0
1880,1746,3.27,350,10,GRC,1920,1957,0.5
1880,NA,6.45,90,2,GTM,1932,2008,0
1880,NA,5.01,110,NA,GUY,1969,NA,0
1880,NA,6.22,91,-3,HND,1959,1990,-0.02
1880,NA,5.75,344,NA,HRV,1971,1950,0
1880,NA,6.31,41,-3,HTI,1954,NA,0
1880,NA,5.23,310,-4,HUN,1891,1938,-0.090000004
1880,982,6.07,850,NA,IDN,1954,NA,0
1880,NA,5.95,750,NA,IND,1929,NA,0
1880,NA,3.31,205,NA,IRL,1952,1944,0.40000001
1880,NA,7.08,630,-10,IRN,1949,1955,0
1880,NA,7.13,645,NA,IRQ,1964,NA,0
1880,NA,4.96,666,NA,ISR,1953,1959,0.13
1880,1631,4.98,325,-4,ITA,1924,1936,-0.079999998
1880,865,5.13,51,NA,JAM,1966,NA,0
1880,NA,6.97,663,NA,JOR,1960,NA,0
1880,1153,3.59,740,1,JPN,1922,1969,0.25
1880,NA,6.45,705,NA,KAZ,1990,NA,0
1880,NA,6.91,501,NA,KEN,1976,NA,0
1880,NA,6.58,703,NA,KGZ,1955,1936,0
1880,NA,6.95,811,NA,KHM,1957,NA,0
1880,NA,6,732,NA,KOR,1993,2018,0
1880,NA,6.87,690,NA,KWT,1964,NA,0
1880,NA,6.13,812,NA,LAO,1994,NA,0
1880,NA,5.74,660,NA,LBN,1943,1943,0
1880,NA,6.19,450,4,LBR,NA,NA,0
1880,NA,7.2,620,NA,LBY,1957,NA,0
1880,967,5.68,780,NA,LKA,1939,NA,0
1880,NA,5.84,570,NA,LSO,1992,NA,0
1880,NA,5.23,368,NA,LTU,1925,1936,0.059999999
1880,NA,4.26,212,2,LUX,1925,1947,0.17
1880,NA,4.01,367,NA,LVA,1922,1936,0.25999999
1880,NA,6.5,600,-6,MAR,1952,1959,0
1880,NA,6.39,359,NA,MDA,NA,1936,0
1880,NA,6.89,580,NA,MDG,1952,1956,0
1880,NA,6.8,70,-9,MEX,1917,1998,0
1880,NA,5.45,343,NA,MKD,NA,NA,0.55000001
1880,NA,6.23,432,NA,MLI,1952,1955,0
1880,NA,6.03,775,NA,MMR,1954,NA,0
1880,NA,5.33,341,NA,MNE,NA,NA,0.039999999
1880,NA,5.94,712,NA,MNG,1994,2006,0
1880,NA,6.63,541,NA,MOZ,NA,NA,0
1880,NA,6.34,435,NA,MRT,1952,1955,0
1880,NA,5.03,590,NA,MUS,1975,NA,0
1880,NA,6.78,553,NA,MWI,2000,NA,0
1880,NA,5.45,820,NA,MYS,1955,NA,0
1880,NA,5.96,565,NA,NAM,1994,NA,0
1880,NA,6.83,436,NA,NER,1952,1961,0
1880,NA,6.55,475,NA,NGA,1963,NA,0
1880,NA,6.16,93,-5,NIC,1955,1982,0
1880,3276,5.35,210,-3,NLD,1929,1939,-0.23
1880,2558,4.53,385,-4,NOR,1909,1946,-0.27000001
1880,NA,6.15,790,-3,NPL,1993,NA,0
1880,5179,5.46,920,9,NZL,2003,NA,0.20999999
1880,NA,6.88,698,-6,OMN,2011,NA,0
1880,NA,6.59,770,NA,PAK,1958,2005,0
1880,NA,5.36,95,NA,PAN,1930,NA,0
1880,479,6.82,135,-3,PER,1918,1989,0
1880,NA,5.97,840,NA,PHL,1952,2008,0.47999999
1880,NA,6.23,910,NA,PNG,NA,NA,0
1880,1518,5.23,290,NA,POL,1920,1947,0.93000001
1880,NA,6.1,731,NA,PRK,NA,NA,0
1880,1258,4.22,235,-5,PRT,1922,1942,-0.059999999
1880,NA,6.49,150,-4,PRY,1943,NA,0
1880,NA,6.97,694,NA,QAT,1967,NA,0
1880,662,5.05,360,-7,ROU,1913,1944,-0.44
1880,NA,6.8,365,-10,RUS,1912,1936,-0.059999999
1880,NA,7.07,517,NA,RWA,1967,NA,0
1880,NA,6.86,670,NA,SAU,1969,NA,0
1880,NA,6.64,625,NA,SDN,1981,NA,0
1880,NA,5.7,433,NA,SEN,1952,1955,0
1880,NA,5.18,830,NA,SGP,1969,NA,0.029999999
1880,NA,6.42,940,NA,SLB,1996,NA,0
1880,NA,5.72,451,NA,SLE,2015,NA,0
1880,NA,5.9,92,-1,SLV,1927,2005,0
1880,NA,6.87,520,NA,SOM,1958,NA,0
1880,NA,5.45,345,NA,SRB,1922,1950,0.55000001
1880,NA,6.64,525,NA,SSD,NA,NA,0
1880,NA,6.58,115,NA,SUR,NA,NA,0
1880,NA,5.83,317,NA,SVK,1968,1941,0.11
1880,NA,4.55,349,NA,SVN,1971,1950,0.039999999
1880,2118,4.36,380,-4,SWE,1913,1947,-0.25
1880,NA,6.71,572,NA,SWZ,1997,NA,0
1880,NA,6.85,652,NA,SYR,1959,NA,0
1880,NA,6.06,483,NA,TCD,1952,1956,0
1880,NA,6.34,461,NA,TGO,1956,1956,0
1880,NA,6.35,800,-10,THA,1956,1990,0
1880,NA,5.87,702,NA,TJK,1990,NA,0
1880,NA,6.22,701,NA,TKM,1990,1936,0
1880,NA,6.52,860,NA,TLS,NA,NA,0
1880,NA,4.94,52,NA,TTO,1971,NA,-0.079999998
1880,NA,6.4,616,NA,TUN,1952,1961,0
1880,NA,6.92,640,-10,TUR,1936,NA,0
1880,NA,6.74,510,NA,TZA,1955,NA,0
1880,NA,6.89,500,NA,UGA,1975,NA,0
1880,NA,7.5,369,NA,UKR,1990,1936,0
1880,3070,5.76,165,-3,URY,1935,1943,0.02
1880,4866,4.75,2,10,USA,NA,NA,0.27000001
1880,NA,5.71,704,NA,UZB,1990,NA,0
1880,1032,5.92,101,-5,VEN,1940,NA,-0.029999999
1880,NA,4.7,816,NA,VNM,1964,NA,0
1880,NA,6.88,679,NA,YEM,1995,NA,0
