country_name,cow_code,independence,labor_workinjury_firstlaw,labor_workinjury_firstins,labor_workinjury_first_fund,labor_workinjury_first_socins,labor_workinjury_firstnat,labor_workinjury_firstnat_carriedover,labor_workinjury_firstlaw_programtype,labor_workinjury_firstlaw_bluecollar_fullcoverage,iso3,year
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1880
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1881
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1882
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1883
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1884
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1885
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1886
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1887
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1888
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1889
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1890
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1891
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1892
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1893
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1894
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1895
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1896
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1897
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1898
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1899
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1900
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1901
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1902
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1903
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1904
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1905
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1906
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1907
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1908
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1909
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1910
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1911
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1912
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1913
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1914
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1915
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1916
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1917
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1918
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1919
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1920
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1921
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1922
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1923
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1924
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1925
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1926
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1927
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1928
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1929
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1930
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1931
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1932
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1933
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1934
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1935
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1936
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1937
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1938
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1939
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1940
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1941
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1942
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1943
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1944
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1945
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1946
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1947
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1948
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1949
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1950
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1951
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1952
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1953
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1954
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1955
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1956
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1957
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1958
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1959
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1960
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1961
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1962
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1963
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1964
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1965
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1966
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1967
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1968
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1969
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1970
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1971
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1972
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1973
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1974
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1975
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1976
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1977
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1978
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1979
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1980
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1981
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1982
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1983
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1984
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1985
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1986
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1987
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1988
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1989
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1990
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1991
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1992
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1993
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1994
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1995
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1996
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1997
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1998
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,1999
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2000
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2001
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2002
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2003
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2004
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2005
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2006
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2007
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2008
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2009
Afghanistan,700,1919,1946,1987,NA,1987,1946,no,Employer liability,1946,AFG,2010
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1880
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1881
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1882
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1883
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1884
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1885
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1886
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1887
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1888
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1889
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1890
Albania,339,1914,1947,1947,NA,1947,1947,no,Risk-Pooling,1947,ALB,1891
