WarNum,WarName,V5Region,WarType,CcodeA,SideA,CcodeB,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TransFrom,Initiator,Outcome,TransTo,Deaths A,Deaths B,TotalBDeaths,SideAPeakTotForces,SideAPeak TheatForces,SideBPeakTotForces,SideBPeakTheatForces,Version
500,First Caucasus War of 1818-1822,3,5,365,Russia,-8,Caucasus Rebels,0,6,10,1818,11,-9,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1596,53.2,-8,Chechnya,1,-8,5000,6000,11000,1001000,70300,-8,46000,5.1
502,First Two Sicilies War of 1820-1821,3,4,300,Austria,-8,-8,1,3,-9,1821,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,0.3,-8,-8,1,-8,-9,-8,-8,273000,60000,-8,-8,5.1
502,First Two Sicilies War of 1820-1821,3,4,329,Two Sicilies,-8,Liberals,1,7,2,1820,3,23,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,262,8.73,-8,Liberals,1,-8,-9,-9,2000,49000,10000,-8,50000,5.1
502.1,Ali Pasha Rebellion of 1820-1822,3,5,640,Ottoman Empire,-8,Ali Pasha Loyalists,0,7,-9,1820,1,24,1822,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,550,18.33,-8,Ottoman Empire,1,-8,-9,-9,2000,200000,20000,-8,13500,5.1
503,Sardinian Revolt of 1821,3,4,300,Austria,-8,-8,1,4,7,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,32,1.07,-8,-8,1,-8,-9,-8,-8,273000,2000,-8,-8,5.1
503,Sardinian Revolt of 1821,3,4,325,Sardinia,-8,Piedmont Liberals,1,3,10,1821,5,8,1821,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,59,1.97,-8,Liberals,1,-8,-9,-9,1000,41000,7000,-8,15000,5.1
504,Greek Independence War of 1821-1828,3,5,-8,-8,200,United Kingdom,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,75,-8,155000,-9,-8,-8,5.1
504,Greek Independence War of 1821-1828,3,5,-8,-8,220,France,1,10,20,1827,10,27,1827,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,8,0.27,-8,-8,4,4,-8,43,-8,247000,-9,-8,-8,5.1
504,Greek Independence War of 1821-1828,3,5,-8,-8,365,Russia,1,10,20,1827,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,186,6.2,-8,-8,4,4,-8,59,-8,675000,-9,-8,-8,5.1
504,Greek Independence War of 1821-1828,3,5,640,Ottoman Empire,-8,Greeks,1,3,25,1821,4,25,1828,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2551,85.03,-8,Greeks,4,4,50000,15000,65177,206000,-9,-8,25000,5.1
