"iso3_ego","year","existence"
"AFG",1880,0
"AFG",1881,0
"AFG",1882,0
"AFG",1883,0
"AFG",1884,0
"AFG",1885,0
"AFG",1886,0
"AFG",1887,0
"AFG",1888,0
"AFG",1889,0
"AFG",1890,0
"AFG",1891,0
"AFG",1892,0
"AFG",1893,0
"AFG",1894,0
"AFG",1895,0
"AFG",1896,0
"AFG",1897,0
"AFG",1898,0
"AFG",1899,0
"AFG",1900,0
"AFG",1901,0
"AFG",1902,0
"AFG",1903,0
"AFG",1904,0
"AFG",1905,0
"AFG",1906,0
"AFG",1907,0
"AFG",1908,0
"AFG",1909,0
"AFG",1910,0
"AFG",1911,0
"AFG",1912,0
"AFG",1913,0
"AFG",1914,0
"AFG",1915,0
"AFG",1916,0
"AFG",1917,0
"AFG",1918,0
"AFG",1919,1
"AFG",1920,1
"AFG",1921,1
"AFG",1922,1
"AFG",1923,1
"AFG",1924,1
"AFG",1925,1
"AFG",1926,1
"AFG",1927,1
"AFG",1928,1
"AFG",1929,1
"AFG",1930,1
"AFG",1931,1
"AFG",1932,1
"AFG",1933,1
"AFG",1934,1
"AFG",1935,1
"AFG",1936,1
"AFG",1937,1
"AFG",1938,1
"AFG",1939,1
"AFG",1940,1
"AFG",1941,1
"AFG",1942,1
"AFG",1943,1
"AFG",1944,1
"AFG",1945,1
"AFG",1946,1
"AFG",1947,1
"AFG",1948,1
"AFG",1949,1
"AFG",1950,1
"AFG",1951,1
"AFG",1952,1
"AFG",1953,1
"AFG",1954,1
"AFG",1955,1
"AFG",1956,1
"AFG",1957,1
"AFG",1958,1
"AFG",1959,1
"AFG",1960,1
"AFG",1961,1
"AFG",1962,1
"AFG",1963,1
"AFG",1964,1
"AFG",1965,1
"AFG",1966,1
"AFG",1967,1
"AFG",1968,1
"AFG",1969,1
"AFG",1970,1
"AFG",1971,1
"AFG",1972,1
"AFG",1973,1
"AFG",1974,1
"AFG",1975,1
"AFG",1976,1
"AFG",1977,1
"AFG",1978,1
"AFG",1979,1
"AFG",1980,1
"AFG",1981,1
"AFG",1982,1
"AFG",1983,1
"AFG",1984,1
"AFG",1985,1
"AFG",1986,1
"AFG",1987,1
"AFG",1988,1
"AFG",1989,1
"AFG",1990,1
"AFG",1991,1
"AFG",1992,1
"AFG",1993,1
"AFG",1994,1
"AFG",1995,1
"AFG",1996,1
"AFG",1997,1
"AFG",1998,1
"AFG",1999,1
"AFG",2000,1
"AFG",2001,1
"AFG",2002,1
"AFG",2003,1
"AFG",2004,1
"AFG",2005,1
"AFG",2006,1
"AFG",2007,1
"AFG",2008,1
"AFG",2009,1
"AFG",2010,1
"AGO",1880,0
"AGO",1881,0
"AGO",1882,0
"AGO",1883,0
"AGO",1884,0
"AGO",1885,0
"AGO",1886,0
"AGO",1887,0
"AGO",1888,0
"AGO",1889,0
"AGO",1890,0
"AGO",1891,0
"AGO",1892,0
"AGO",1893,0
"AGO",1894,0
"AGO",1895,0
"AGO",1896,0
"AGO",1897,0
"AGO",1898,0
"AGO",1899,0
"AGO",1900,0
"AGO",1901,0
"AGO",1902,0
"AGO",1903,0
"AGO",1904,0
"AGO",1905,0
"AGO",1906,0
"AGO",1907,0
"AGO",1908,0
"AGO",1909,0
"AGO",1910,0
"AGO",1911,0
"AGO",1912,0
"AGO",1913,0
"AGO",1914,0
"AGO",1915,0
"AGO",1916,0
"AGO",1917,0
"AGO",1918,0
"AGO",1919,0
"AGO",1920,0
"AGO",1921,0
"AGO",1922,0
"AGO",1923,0
"AGO",1924,0
"AGO",1925,0
"AGO",1926,0
"AGO",1927,0
"AGO",1928,0
"AGO",1929,0
"AGO",1930,0
"AGO",1931,0
"AGO",1932,0
"AGO",1933,0
"AGO",1934,0
"AGO",1935,0
"AGO",1936,0
"AGO",1937,0
"AGO",1938,0
"AGO",1939,0
"AGO",1940,0
"AGO",1941,0
"AGO",1942,0
"AGO",1943,0
"AGO",1944,0
"AGO",1945,0
"AGO",1946,0
"AGO",1947,0
"AGO",1948,0
"AGO",1949,0
"AGO",1950,0
"AGO",1951,0
"AGO",1952,0
"AGO",1953,0
"AGO",1954,0
"AGO",1955,0
"AGO",1956,0
"AGO",1957,0
"AGO",1958,0
"AGO",1959,0
"AGO",1960,0
"AGO",1961,0
"AGO",1962,0
"AGO",1963,0
"AGO",1964,0
"AGO",1965,0
"AGO",1966,0
"AGO",1967,0
"AGO",1968,0
"AGO",1969,0
"AGO",1970,0
"AGO",1971,0
"AGO",1972,0
"AGO",1973,0
"AGO",1974,0
"AGO",1975,1
"AGO",1976,1
"AGO",1977,1
"AGO",1978,1
"AGO",1979,1
"AGO",1980,1
"AGO",1981,1
"AGO",1982,1
"AGO",1983,1
"AGO",1984,1
"AGO",1985,1
"AGO",1986,1
"AGO",1987,1
"AGO",1988,1
"AGO",1989,1
"AGO",1990,1
"AGO",1991,1
"AGO",1992,1
"AGO",1993,1
"AGO",1994,1
"AGO",1995,1
"AGO",1996,1
"AGO",1997,1
"AGO",1998,1
"AGO",1999,1
"AGO",2000,1
"AGO",2001,1
"AGO",2002,1
"AGO",2003,1
"AGO",2004,1
"AGO",2005,1
"AGO",2006,1
"AGO",2007,1
"AGO",2008,1
"AGO",2009,1
"AGO",2010,1
"ALB",1880,0
"ALB",1881,0
"ALB",1882,0
"ALB",1883,0
"ALB",1884,0
"ALB",1885,0
"ALB",1886,0
"ALB",1887,0
"ALB",1888,0
"ALB",1889,0
"ALB",1890,0
"ALB",1891,0
"ALB",1892,0
"ALB",1893,0
"ALB",1894,0
"ALB",1895,0
"ALB",1896,0
"ALB",1897,0
"ALB",1898,0
"ALB",1899,0
"ALB",1900,0
"ALB",1901,0
"ALB",1902,0
"ALB",1903,0
"ALB",1904,0
"ALB",1905,0
"ALB",1906,0
"ALB",1907,0
"ALB",1908,0
"ALB",1909,0
"ALB",1910,0
"ALB",1911,0
"ALB",1912,0
"ALB",1913,0
"ALB",1914,1
"ALB",1915,1
"ALB",1916,1
"ALB",1917,1
"ALB",1918,1
"ALB",1919,1
"ALB",1920,1
"ALB",1921,1
"ALB",1922,1
"ALB",1923,1
"ALB",1924,1
"ALB",1925,1
"ALB",1926,1
"ALB",1927,1
"ALB",1928,1
"ALB",1929,1
"ALB",1930,1
"ALB",1931,1
"ALB",1932,1
"ALB",1933,1
"ALB",1934,1
"ALB",1935,1
"ALB",1936,1
"ALB",1937,1
"ALB",1938,1
"ALB",1939,1
"ALB",1940,0
"ALB",1941,0
"ALB",1942,0
"ALB",1943,0
"ALB",1944,1
"ALB",1945,1
"ALB",1946,1
"ALB",1947,1
"ALB",1948,1
"ALB",1949,1
"ALB",1950,1
"ALB",1951,1
"ALB",1952,1
"ALB",1953,1
"ALB",1954,1
"ALB",1955,1
"ALB",1956,1
"ALB",1957,1
"ALB",1958,1
"ALB",1959,1
"ALB",1960,1
"ALB",1961,1
"ALB",1962,1
"ALB",1963,1
"ALB",1964,1
"ALB",1965,1
"ALB",1966,1
"ALB",1967,1
"ALB",1968,1
"ALB",1969,1
"ALB",1970,1
"ALB",1971,1
"ALB",1972,1
"ALB",1973,1
"ALB",1974,1
"ALB",1975,1
"ALB",1976,1
"ALB",1977,1
"ALB",1978,1
"ALB",1979,1
"ALB",1980,1
"ALB",1981,1
"ALB",1982,1
"ALB",1983,1
"ALB",1984,1
"ALB",1985,1
"ALB",1986,1
"ALB",1987,1
"ALB",1988,1
"ALB",1989,1
"ALB",1990,1
"ALB",1991,1
"ALB",1992,1
"ALB",1993,1
"ALB",1994,1
"ALB",1995,1
"ALB",1996,1
"ALB",1997,1
"ALB",1998,1
"ALB",1999,1
"ALB",2000,1
"ALB",2001,1
"ALB",2002,1
"ALB",2003,1
"ALB",2004,1
"ALB",2005,1
"ALB",2006,1
"ALB",2007,1
"ALB",2008,1
"ALB",2009,1
"ALB",2010,1
"ARE",1880,0
"ARE",1881,0
"ARE",1882,0
"ARE",1883,0
"ARE",1884,0
"ARE",1885,0
"ARE",1886,0
"ARE",1887,0
"ARE",1888,0
"ARE",1889,0
"ARE",1890,0
"ARE",1891,0
"ARE",1892,0
"ARE",1893,0
"ARE",1894,0
"ARE",1895,0
"ARE",1896,0
"ARE",1897,0
"ARE",1898,0
"ARE",1899,0
"ARE",1900,0
"ARE",1901,0
"ARE",1902,0
"ARE",1903,0
"ARE",1904,0
"ARE",1905,0
"ARE",1906,0
"ARE",1907,0
"ARE",1908,0
"ARE",1909,0
"ARE",1910,0
"ARE",1911,0
"ARE",1912,0
"ARE",1913,0
"ARE",1914,0
"ARE",1915,0
"ARE",1916,0
"ARE",1917,0
"ARE",1918,0
"ARE",1919,0
"ARE",1920,0
"ARE",1921,0
"ARE",1922,0
"ARE",1923,0
"ARE",1924,0
"ARE",1925,0
"ARE",1926,0
"ARE",1927,0
"ARE",1928,0
"ARE",1929,0
"ARE",1930,0
"ARE",1931,0
"ARE",1932,0
"ARE",1933,0
"ARE",1934,0
"ARE",1935,0
"ARE",1936,0
"ARE",1937,0
"ARE",1938,0
"ARE",1939,0
"ARE",1940,0
"ARE",1941,0
"ARE",1942,0
"ARE",1943,0
"ARE",1944,0
"ARE",1945,0
"ARE",1946,0
"ARE",1947,0
"ARE",1948,0
"ARE",1949,0
"ARE",1950,0
"ARE",1951,0
"ARE",1952,0
"ARE",1953,0
"ARE",1954,0
